"filename", "language", "Go", "Markdown", "SQL", "Makefile", "Go Checksum File", "Go Module File", "YAML", "Docker", "JSON", "comment", "blank", "total"
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\teacher.go", "Go", 175, 0, 0, 0, 0, 0, 0, 0, 0, 16, 37, 228
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\university.go", "Go", 84, 0, 0, 0, 0, 0, 0, 0, 0, 16, 28, 128
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\users.go", "Go", 570, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55, 635
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\server\server.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\attendance.go", "Go", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 75
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\classroom.go", "Go", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\departament.go", "Go", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 71
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\discipline.go", "Go", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 59
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\disciplinetype.go", "Go", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\educationlevel.go", "Go", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\educationtype.go", "Go", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 52
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\errors.go", "Go", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\faculty.go", "Go", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 71
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\group.go", "Go", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 56
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\headman.go", "Go", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 55
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\profile.go", "Go", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 66
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\report.go", "Go", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\roles.go", "Go", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\schedule.go", "Go", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 126
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\service.go", "Go", 76, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 86
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\specialty.go", "Go", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 62
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\student.go", "Go", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 65
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\teacher.go", "Go", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 68
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\university.go", "Go", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 64
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\service\users.go", "Go", 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 189
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\osau.sql", "SQL", 0, 0, 257, 0, 0, 0, 0, 0, 0, 115, 4, 376
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\osau_version_2.sql", "SQL", 0, 0, 528, 0, 0, 0, 0, 0, 0, 143, 66, 737
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\pkg\auth\jwtManager.go", "Go", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 61
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\pkg\database\postgres\postgres.go", "Go", 24, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 50
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\pkg\myhash\password.go", "Go", 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 40
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\selects.sql", "SQL", 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 4, 183
"Total", "-", 16645, 0, 1177, 11, 269, 83, 5137, 9, 7658, 2111, 1991, 35091
